2007-9-1,552,钱江·彩虹城,滨江区,0,1,9393
2007-9-1,1207,丁桥·颐景园,西湖区,0,1,7127
2007-9-1,714,欣盛·东方润园,江干区,0,2,24917
2007-9-1,687,凤凰城,上城区,1,0,0
2007-9-1,703,远境·浮力森林苑,滨江区,1,1,6608
2007-9-1,2517,福雷德广场,下沙区,0,3,7278
2007-9-1,652,观邸国际寓所,滨江区,4,2,9234
2007-9-1,897,野风·海天城,下沙区,0,4,6119
2007-9-1,498,杭州临江花园,滨江区,0,2,6248
2007-9-1,698,昆仑·红苹果家园,江干区,1,0,0
2007-9-1,893,金都·华府花园,上城区,0,1,13949
2007-9-1,903,嘉泰·馨庭,拱墅区,0,1,12355
2007-9-1,4674,杭房·江南豪园,滨江区,1,2,8314
2007-9-1,1422,滨江·金色海岸,上城区,1,0,0
2007-9-1,564,六合·天寓,滨江区,3,6,9242
2007-9-1,737,万科·魅力之城,江干区,4,47,8259
2007-9-1,619,华元·梦琴湾,下沙区,0,1,8204
2007-9-1,758,坤和·亲亲家园,拱墅区,1,3,7749
2007-9-1,665,倚天·盛世钱塘花园,江干区,1,1,19000
2007-9-1,683,盛元·慧谷,滨江区,0,10,9376
2007-9-1,751,四季名门城市公寓,下沙区,2,0,0
2007-9-1,747,元丰·钛合国际,下城区,0,2,17776
2007-9-1,626,耀江·文鼎苑,西湖区,0,132,12222
2007-9-1,1225,广宇·西城年华,西湖区,1,1,12921
2007-9-1,676,中冠·现代印象广场,滨江区,0,1,8193
2007-9-1,680,阳光华城,下沙区,0,1,5920
2007-9-1,1228,理想·伊萨卡国际城,下沙区,0,3,8157
2007-9-1,696,润和·亿城嘉园,下城区,0,4,6709
2007-9-1,756,易构大厦,拱墅区,0,2,7272
2007-9-1,1226,西房·云溪香山,之江区,2,2,7482
2007-9-1,740,之江铭楼,下沙区,1,1,7988
2007-9-1,724,紫晶商务城,江干区,0,1,13132
2007-9-2,1207,丁桥·颐景园,西湖区,0,1,7282
2007-9-2,714,欣盛·东方润园,江干区,0,1,25156
2007-9-2,610,风雅钱塘世纪花园,滨江区,3,0,0
2007-9-2,2517,福雷德广场,下沙区,0,2,6999
2007-9-2,652,观邸国际寓所,滨江区,1,1,7460
2007-9-2,897,野风·海天城,下沙区,0,5,6344
2007-9-2,698,昆仑·红苹果家园,江干区,3,0,0
2007-9-2,4674,杭房·江南豪园,滨江区,0,1,8439
2007-9-2,604,西房·锦绣江南,滨江区,1,1,8100
2007-9-2,1223,景江城市花园,上城区,0,3,10670
2007-9-2,564,六合·天寓,滨江区,6,5,9239
