滨江区,白马湖单元
滨江区,滨江中心单元
滨江区,长河单元
滨江区,长江单元
滨江区,东冠单元
滨江区,江南单元
滨江区,浦乐单元
滨江区,浦沿单元
滨江区,省属滨江单元
滨江区,西兴北单元
滨江区,西兴单元
滨江区,襄七房单元
滨江区,襄七房东单元
滨江区,永久河单元
滨江区,之江单元
滨江区,中兴单元
拱墅区,半山单元
拱墅区,大关单元
拱墅区,拱宸桥单元
拱墅区,杭钢单元
拱墅区,湖墅单元
拱墅区,康桥北单元
拱墅区,康桥单元
拱墅区,米市巷单元
拱墅区,桥西单元
拱墅区,庆隆单元
拱墅区,上塘单元
拱墅区,申花单元
拱墅区,铁路北站单元
拱墅区,祥符单元
拱墅区,祥符东单元
拱墅区,小河单元
拱墅区,谢村单元
江干区,采荷单元
江干区,长睦单元
江干区,大井单元
江干区,丁桥单元
江干区,丁桥东单元
江干区,丁桥西单元
江干区,皋亭单元
下沙区,海宁北单元
下沙区,海宁单元
江干区,笕桥单元
江干区,笕桥机场单元
江干区,笕桥生态公园单元
江干区,江干科技园单元
江干区,景芳单元
江干区,九堡北单元
江干区,九堡中心单元
下沙区,开发区单元
下沙区,开发区东单元
下沙区,开发区南单元
下沙区,开发区西单元
江干区,凯旋单元
下沙区,南苑单元
江干区,牛田单元
江干区,彭埠单元
江干区,七堡单元
下沙区,七格单元
江干区,钱江新城单元
下沙区,乔司单元
下沙区,乔司东单元
下沙区,乔司农场单元
下沙区,乔司农场南单元
下沙区,乔司西单元
江干区,三堡单元
江干区,三里亭单元
下沙区,湿地单元
江干区,四堡单元
下沙区,松合单元
江干区,天城单元
下沙区,下沙大学城北单元
下沙区,下沙东新城东单元
下沙区,下沙东新城西单元
下沙区,下沙中心区单元
下沙区,沿江单元
下沙区,元成单元
下沙区,元成东单元
下沙区,中沙单元
上城区,复兴单元
上城区,湖滨单元
上城区,近江单元
上城区,南星单元
上城区,清波单元
上城区,小营单元
上城区,紫阳单元
西湖区,北山景区单元
西湖区,长安沙风景区单元
西湖区,翠苑单元
西湖区,凤凰山景区单元
西湖区,浮山单元
西湖区,古荡单元
西湖区,环湖景区单元
西湖区,蒋村单元
西湖区,灵山风景区单元
西湖区,灵竺景区单元
西湖区,留下单元
西湖区,龙井虎跑景区单元
西湖区,龙坞风景区单元
西湖区,龙坞镇区单元
西湖区,钱江景区单元
西湖区,三墩单元
西湖区,三墩西单元
西湖区,生态控制区单元
西湖区,塘北单元
西湖区,文新单元
西湖区,五云景区单元
西湖区,西湖科技园单元
西湖区,西溪单元
西湖区,西溪风景区单元
西湖区,小和山单元
西湖区,玉泉单元
西湖区,袁浦单元
西湖区,植物园景区单元
西湖区,周浦单元
西湖区,紫金港校区单元
下城区,长庆单元
下城区,朝晖单元
下城区,潮鸣-艮山单元
下城区,灯塔单元
下城区,东新单元
下城区,华丰单元
下城区,三塘单元
下城区,石桥单元
下城区,文晖单元
下城区,武林天水单元
之江区,之江度假区单元
之江区,转塘镇区单元
